Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final
car,20,0.8635,101,200,270,34
car,22,0.9498,98,336,873,117
car,23,0.9523,106,444,871,161
car,21,0.9285,104,244,332,34
car,27,0.9470,129,448,872,168
car,26,0.9208,101,248,371,48
car,30,0.9505,149,302,870,113
car,28,0.9353,113,251,372,52
car,31,0.9458,139,441,876,166
car,33,0.8918,139,322,872,120
car,36,0.9441,146,320,863,127
car,35,0.9444,140,431,869,165
car,29,0.9209,104,255,349,42
car,37,0.9516,144,300,872,116
car,32,0.9055,105,259,359,48
car,38,0.9544,130,430,853,163
car,34,0.9140,108,245,358,49
car,39,0.9159,150,315,875,119
car,41,0.9610,128,430,867,156
car,43,0.9317,186,307,870,121
car,47,0.6321,542,241,744,189
car,46,0.8936,154,427,873,162
car,45,0.8118,124,304,873,112
car,48,0.9444,196,413,870,162
bicycle,24,0.6667,584,65,368,77
person,40,0.6229,557,58,278,75
car,57,0.9470,182,428,872,161
car,16,0.9338,622,66,99,128
car,59,0.9313,180,302,873,114
car,12,0.7741,689,72,100,148
bicycle,24,0.6750,241,87,84,104
car,9,0.7609,773,65,103,146
car,10,0.8593,727,53,94,120
car,65,0.9303,165,288,865,110
car,54,0.8262,764,53,91,126
car,64,0.8999,699,70,100,147
car,61,0.8392,799,52,100,123
car,69,0.8756,161,310,876,117
car,68,0.9051,770,64,106,147
car,72,0.9624,212,407,866,174
car,73,0.6185,875,81,771,71
car,79,0.9138,737,62,102,144
car,82,0.8788,760,62,101,148
car,84,0.9173,782,53,107,120
car,80,0.9065,786,94,856,458
car,15,0.9040,728,81,771,496
car,91,0.9280,768,65,97,144
car,83,0.8938,879,81,861,461
car,86,0.9035,809,77,731,503
car,93,0.9197,764,56,106,122
car,90,0.8180,788,44,295,21
car,92,0.8797,873,81,852,464
car,99,0.9023,780,61,120,144
car,101,0.7729,781,53,614,62
car,96,0.9146,787,54,96,148
car,102,0.9317,774,57,152,127
car,105,0.9261,766,66,106,153
car,107,0.9249,792,48,90,119
car,108,0.8499,796,45,340,27
car,117,0.9493,862,403,99,201
car,122,0.9530,851,399,93,206
person,118,0.7884,868,212,356,30
car,123,0.9319,858,268,271,32
bicycle,131,0.5675,664,125,518,74
car,133,0.9298,863,281,268,31
person,129,0.7629,838,188,360,29
car,138,0.9386,862,285,260,30
car,144,0.9343,858,272,272,34
car,147,0.9438,852,280,260,31
person,125,0.7553,876,156,547,55
car,151,0.9494,828,269,255,30
car,55,0.9364,143,27,825,465
car,155,0.9268,850,246,338,28
car,146,0.8750,89,26,725,492
car,110,0.8950,146,22,834,462
car,114,0.7770,788,45,654,60
car,167,0.9608,108,455,868,162
car,169,0.9487,103,346,876,116
car,171,0.9377,105,250,349,43
car,175,0.9585,103,328,873,122
car,174,0.9380,102,239,344,44
car,186,0.5102,592,170,701,148
car,180,0.9252,128,434,866,124
car,187,0.9536,128,313,874,115
car,179,0.9245,107,248,318,30
car,182,0.9412,124,234,342,40
car,193,0.7400,187,294,873,120
car,190,0.9039,121,427,875,153
car,194,0.9506,128,420,866,157
car,195,0.9604,143,303,872,113
car,197,0.9514,146,429,867,164
car,202,0.9452,141,313,875,114
car,201,0.9613,164,422,871,163
car,207,0.9290,149,310,875,112
car,206,0.8915,167,430,870,163
car,113,0.9251,798,63,100,145
car,212,0.9465,163,421,868,160
car,177,0.5982,725,49,264,91
car,165,0.6585,778,69,132,141
car,172,0.7035,684,53,164,102
car,178,0.6727,652,60,104,112
car,217,0.9456,164,314,873,115
car,214,0.8528,788,61,97,148
car,226,0.9460,165,426,866,164
car,198,0.6994,804,51,112,125
car,223,0.8747,775,63,103,146
car,227,0.9545,231,396,867,163
car,219,0.9015,783,53,95,123
car,236,0.9406,170,309,874,119
car,238,0.9516,192,424,871,165
car,234,0.8804,741,63,119,140
car,231,0.9109,736,54,102,139
car,245,0.9305,191,418,874,168
car,240,0.9100,745,67,92,146
car,244,0.9063,756,54,101,127
